,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
75,derek-fisher,Career,Arkansas-Little Rock,,112,32.6,3.9,9.4,0.41200000000000003,2.7,6.4,0.42700000000000005,1.1,3.0,0.38,3.6,4.8,0.748,4.3,4.2,1.6,0.1,2.4,2.6,12.4
76,kyrie-irving,Career,Duke,,11,27.5,5.0,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.9009999999999999,3.4,4.3,1.5,0.5,2.5,2.1,17.5
77,scott-padgett,Career,Kentucky,,122,22.8,3.5,7.7,0.449,2.2,4.3,0.517,1.2,3.4,0.364,2.1,2.7,0.759,5.3,2.0,1.2,0.6,1.5,1.5,10.3
78,mo-williams,Career,Alabama,,64,33.7,4.4,10.9,0.405,3.0,6.1,0.49200000000000005,1.4,4.8,0.294,2.8,3.4,0.847,3.9,4.2,1.5,0.1,3.0,2.4,13.1
79,ryan-anderson,Career,University of California,,66,33.0,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5.0,0.841,9.0,1.0,0.5,0.5,2.2,,18.7
80,chris-quinn,Career,Notre Dame,,123,31.0,4.0,8.9,0.446,2.0,4.3,0.478,1.9,4.7,0.41700000000000004,1.9,2.3,0.825,2.7,3.5,1.3,0.1,,,11.8
81,terrence-ross,Career,Washington,,69,24.4,4.6,10.1,0.45299999999999996,2.9,5.5,0.528,1.7,4.6,0.364,1.4,1.8,0.764,4.7,1.2,0.9,0.7,1.4,2.4,12.3
82,harrison-barnes,Career,UNC,,75,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.349,3.1,4.3,0.7340000000000001,5.5,1.3,0.9,0.4,1.9,1.9,16.3
83,mike-dunleavy,Career,South Carolina,,111,33.9,5.5,11.4,0.484,,,,,,,3.2,4.0,0.7979999999999999,3.1,,,,,,14.3
84,wayne-ellington,Career,UNC,,115,,5.4,11.6,0.46299999999999997,3.4,6.6,0.513,2.0,5.0,0.397,2.0,2.5,0.809,4.1,2.2,0.9,0.1,1.7,,14.7
85,george-hill,Career,IUPUI,,95,33.3,5.6,10.7,0.529,4.7,8.3,0.565,0.9,2.3,0.40399999999999997,4.8,6.1,0.785,5.8,3.3,1.6,0.3,2.9,,17.0
86,kirk-hinrich,Career,Kansas,,141,29.7,4.4,8.8,0.493,2.7,5.0,0.542,1.7,3.9,0.43,2.0,2.6,0.7759999999999999,3.8,4.7,1.5,0.4,2.7,2.7,12.4
87,chris-whitney,Career,Clemson,,58,36.3,4.6,10.8,0.42700000000000005,1.7,3.9,0.451,2.9,7.0,0.413,2.4,3.1,0.7879999999999999,3.7,6.1,2.0,0.0,3.5,3.1,14.6
88,shammond-williams,Career,UNC,,134,20.2,3.4,7.6,0.455,1.7,3.2,0.523,1.7,4.3,0.40299999999999997,2.2,2.6,0.8490000000000001,2.5,3.0,0.7,0.0,1.8,0.9,10.8
89,darren-collison,Career,UCLA,,141,,4.0,8.3,0.478,2.8,5.7,0.496,1.2,2.6,0.439,2.5,2.9,0.85,2.3,4.1,1.6,0.1,2.4,,11.6
90,jordan-farmar,Career,UCLA,,66,32.2,4.4,10.8,0.41,3.0,6.4,0.46299999999999997,1.5,4.4,0.33299999999999996,3.0,4.0,0.76,3.0,5.2,1.2,0.2,,,13.3
91,patrick-beverley,Career,Arkansas,,70,,4.1,9.7,0.42,2.1,4.6,0.46299999999999997,2.0,5.2,0.382,2.8,3.9,0.73,5.5,2.8,1.5,0.4,2.0,,13.0
92,vince-carter,Career,UNC,,103,23.0,4.7,8.5,0.547,3.7,5.9,0.625,1.0,2.6,0.368,2.0,2.8,0.705,4.5,1.9,1.1,0.8,1.3,1.3,12.3
93,mike-conley,Career,Ohio State,,39,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.6940000000000001,3.4,6.1,2.2,0.3,,,11.3
94,zach-lavine,Career,UCLA,,37,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,2.5,1.8,0.9,0.2,1.1,2.0,9.4
95,jodie-meeks,Career,Kentucky,,81,,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,3.0,1.6,1.1,0.1,2.3,,15.4
96,reggie-miller,Career,UCLA,,122,31.4,6.3,11.5,0.547,5.6,9.3,0.597,2.2,4.9,0.439,4.0,4.8,0.836,4.2,2.0,1.3,0.2,1.8,2.1,17.2
97,kelly-olynyk,Career,Gonzaga,,101,17.2,3.3,5.6,0.594,3.1,4.9,0.634,0.2,0.7,0.33299999999999996,2.0,2.8,0.7090000000000001,4.6,1.1,0.5,0.5,1.4,2.0,8.9
98,morris-peterson,Career,Michigan State,,137,23.4,4.1,8.5,0.484,3.0,5.6,0.537,1.1,2.8,0.377,2.3,3.1,0.746,4.7,0.9,0.9,0.3,1.5,1.7,11.6
99,tim-thomas,Career,Villanova,,32,31.4,5.8,13.0,0.45,4.4,8.6,0.507,1.5,4.4,0.336,3.8,4.8,0.7959999999999999,6.0,2.1,1.8,1.0,2.8,2.8,16.9
100,brian-cardinal,Career,Purdue,,132,28.8,3.8,8.1,0.461,2.8,5.4,0.508,1.0,2.7,0.365,3.5,4.6,0.7609999999999999,5.7,2.1,2.0,0.3,2.1,2.2,12.0
101,joe-johnson,Career,Arkansas,,53,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,6.1,2.4,1.7,0.5,2.5,1.7,15.0
102,cartier-martin,Career,Kansas State,,112,27.6,4.6,10.1,0.45799999999999996,3.0,6.1,0.49700000000000005,1.6,4.0,0.39899999999999997,2.9,3.8,0.78,4.8,1.5,0.7,0.2,,,13.8
103,keith-van-horn,Career,Utah,,122,30.6,7.3,14.0,0.522,5.6,9.8,0.575,1.7,4.2,0.401,4.5,5.3,0.851,8.8,1.2,0.7,1.0,2.3,2.1,20.8
104,charlie-ward,Career,Florida State,,91,29.5,2.9,6.5,0.441,2.1,4.0,0.515,0.8,2.5,0.32299999999999995,1.5,2.4,0.636,2.9,4.4,2.6,0.2,2.3,2.1,8.1
105,delonte-west,Career,St. Joseph's,,89,26.8,5.1,10.3,0.489,3.8,7.0,0.544,1.3,3.4,0.377,2.5,3.0,0.831,4.2,3.0,1.4,0.2,,,13.9
106,bryant-stith,Career,Virginia,,131,33.5,6.5,13.5,0.483,5.7,11.1,0.511,0.9,2.5,0.353,5.3,6.7,0.789,6.6,1.6,1.4,0.4,2.1,2.4,19.2
107,aaron-brooks,Career,Oregon,,115,32.7,4.3,10.1,0.43,2.6,5.4,0.479,1.8,4.8,0.374,2.7,3.2,0.8340000000000001,3.5,4.1,1.1,0.1,,,13.1
108,eddie-jones,Career,Temple,,92,33.9,6.1,13.4,0.45799999999999996,4.6,9.0,0.511,1.5,4.4,0.35,2.2,3.5,0.614,6.1,1.6,2.1,1.2,1.5,2.5,16.0
